inspection_id,restaurant_id,inspection_date,inspector_id,score,critical_violations,noncritical_violations,reinspection_required
INS-00460,R0253,2023-09-20,E106,92.4,1,0,N
INS-00461,R0111,2023-07-22,E142,87.8,0,4,N
INS-00462,R0249,2023-03-27,E115,94.7,1,0,N
INS-00463,R0234,2025-07-22,E135,91.1,1,4,N
INS-00464,R0270,2023-08-20,E119,94.4,1,2,N
INS-00465,R0230,2024-03-06,E121,86.9,3,1,Y
INS-00466,R0214,2025-09-01,E118,94.0,0,1,N
INS-00467,R0195,2025-03-13,E139,95.4,0,5,N
INS-00468,R0290,2025-02-06,E106,96.9,0,1,N
INS-00469,R0295,2024-09-24,E139,96.2,0,0,N
INS-00470,R0007,2025-09-03,E140,90.5,1,2,N
INS-00471,R0213,2025-01-01,E136,97.4,0,0,N
INS-00472,R0136,2025-05-02,E142,95.3,0,1,N
INS-00473,R0180,2025-01-09,E105,91.3,1,5,N
INS-00474,R0154,2023-12-22,E139,90.6,1,3,N
INS-00475,R0177,2025-02-14,E113,86.8,2,2,Y
INS-00476,R0112,2025-02-28,E126,92.3,0,1,N
INS-00477,R0079,2025-12-08,E107,95.0,0,0,N
INS-00478,R0097,2023-03-14,E122,92.5,0,1,N
INS-00479,R0070,2024-06-12,E124,88.9,1,2,N
INS-00480,R0189,2024-09-03,E126,88.6,0,0,N
INS-00481,R0132,2024-05-05,E102,86.3,2,2,Y
INS-00482,R0222,2025-10-12,E109,98.9,0,2,N
INS-00483,R0030,2025-05-02,E108,94.9,0,3,N
INS-00484,R0297,2024-03-07,E129,100.0,0,2,N
INS-00485,R0054,2025-10-28,E103,94.0,0,2,N
INS-00486,R0257,2023-01-24,E129,99.2,0,0,N
INS-00487,R0130,2025-01-10,E133,90.6,0,2,N
INS-00488,R0225,2024-02-08,E116,87.2,2,8,Y
INS-00489,R0205,2024-12-29,E145,84.2,4,2,Y
INS-00490,R0018,2023-01-22,E126,93.8,1,2,N
INS-00491,R0218,2024-07-11,E117,89.1,0,7,N
INS-00492,R0083,2023-03-02,E111,96.1,0,2,N
INS-00493,R0172,2023-04-09,E116,83.6,2,10,Y
INS-00494,R0224,2024-01-14,E123,90.1,0,2,N
INS-00495,R0064,2024-05-27,E132,88.7,1,4,N
INS-00496,R0288,2024-09-02,E125,92.4,0,3,N
INS-00497,R0250,2025-07-23,E134,100.0,0,0,N
INS-00498,R0033,2023-10-06,E117,92.7,1,3,N
INS-00499,R0256,2024-01-23,E122,93.6,1,0,N
INS-00500,R0059,2024-11-04,E139,100.0,0,1,N
INS-00501,R0038,2025-03-02,E112,91.9,1,1,N
INS-00502,R0117,2024-06-19,E121,84.5,3,5,Y
INS-00503,R0198,2024-02-12,E146,95.7,0,2,N
INS-00504,R0287,2024-06-25,E145,88.6,2,4,Y
INS-00505,R0292,2025-11-21,E148,85.3,3,4,Y
INS-00506,R0091,2023-12-15,E122,90.9,0,6,N
INS-00507,R0061,2025-09-09,E134,92.3,1,2,N
INS-00508,R0059,2024-06-29,E126,99.0,1,0,N
INS-00509,R0010,2024-01-10,E133,90.1,1,2,N
INS-00510,R0297,2023-04-10,E103,100.0,0,1,N
INS-00511,R0165,2024-07-19,E115,86.2,3,3,Y
INS-00512,R0058,2023-11-15,E128,92.7,0,0,N
INS-00513,R0223,2023-09-27,E110,94.2,0,2,N
INS-00514,R0035,2025-09-11,E117,87.3,2,3,Y
INS-00515,R0210,2023-10-04,E147,91.5,1,3,N
INS-00516,R0200,2024-06-20,E125,91.5,1,4,N
INS-00517,R0235,2025-09-28,E146,89.2,2,0,Y
INS-00518,R0074,2025-05-07,E122,94.5,0,0,N
INS-00519,R0257,2025-09-18,E128,97.0,0,1,N
INS-00520,R0003,2023-04-24,E137,90.7,2,1,Y
INS-00521,R0133,2023-04-08,E132,91.6,0,5,N
INS-00522,R0077,2025-12-14,E126,94.3,0,2,N
INS-00523,R0251,2024-05-04,E138,93.1,2,2,Y
INS-00524,R0289,2025-12-30,E104,92.1,0,1,N
INS-00525,R0205,2025-05-06,E131,88.4,1,4,N
INS-00526,R0287,2025-12-01,E107,93.7,0,1,N
INS-00527,R0271,2025-12-01,E115,90.7,1,1,N
INS-00528,R0212,2024-06-08,E121,93.5,0,5,N
INS-00529,R0299,2024-11-11,E128,97.0,0,2,N
INS-00530,R0020,2024-06-16,E144,94.8,0,0,N
INS-00531,R0180,2025-06-29,E127,87.1,2,4,Y
INS-00532,R0197,2024-12-21,E122,81.4,2,8,Y
INS-00533,R0182,2025-12-10,E146,93.2,0,3,N
INS-00534,R0190,2025-02-19,E112,88.8,2,3,Y
INS-00535,R0251,2023-07-10,E139,97.8,0,2,N
INS-00536,R0079,2025-02-01,E141,93.6,0,0,N
INS-00537,R0229,2024-11-30,E107,84.5,1,3,Y
INS-00538,R0118,2025-12-22,E116,100.0,0,1,N
INS-00539,R0287,2023-06-14,E146,95.3,0,0,N
INS-00540,R0252,2025-10-15,E148,86.7,2,4,Y
INS-00541,R0049,2023-03-20,E111,88.2,1,3,N
INS-00542,R0256,2025-11-14,E148,94.3,1,2,N
INS-00543,R0066,2023-10-25,E148,85.5,4,2,Y
INS-00544,R0039,2024-08-10,E126,90.7,0,2,N
INS-00545,R0127,2024-09-15,E140,93.1,1,4,N
INS-00546,R0009,2024-02-23,E120,97.2,0,0,N
INS-00547,R0198,2024-03-10,E116,92.9,0,1,N
INS-00548,R0221,2024-09-19,E122,92.5,1,1,N
INS-00549,R0114,2023-09-12,E109,93.5,1,1,N
INS-00550,R0061,2024-04-04,E137,95.5,1,1,N
INS-00551,R0266,2023-10-20,E146,97.6,0,3,N
INS-00552,R0030,2025-06-02,E113,90.2,1,1,N
INS-00553,R0099,2023-06-02,E102,92.3,0,2,N
INS-00554,R0091,2023-03-22,E136,88.1,1,2,N
INS-00555,R0166,2023-08-15,E107,94.4,0,4,N
INS-00556,R0264,2023-10-04,E109,99.8,0,1,N
INS-00557,R0289,2023-09-21,E140,88.8,0,2,N
INS-00558,R0248,2025-06-11,E128,86.2,1,4,N
INS-00559,R0138,2023-03-23,E105,89.5,1,1,N
INS-00560,R0037,2024-10-15,E113,72.8,6,6,Y
INS-00561,R0155,2025-12-08,E139,87.8,1,10,N
INS-00562,R0011,2023-01-14,E114,93.9,1,2,N
INS-00563,R0040,2025-07-20,E135,94.7,0,4,N
INS-00564,R0100,2025-07-25,E131,94.3,1,0,N
INS-00565,R0198,2025-04-20,E125,89.8,2,1,Y
INS-00566,R0185,2024-07-17,E136,89.5,1,5,N
INS-00567,R0056,2024-12-21,E148,95.5,0,1,N
INS-00568,R0237,2025-06-02,E126,92.6,1,2,N
INS-00569,R0158,2024-09-05,E118,98.4,0,0,N
INS-00570,R0175,2023-11-03,E115,92.2,0,2,N
INS-00571,R0188,2024-02-26,E112,89.6,0,5,N
INS-00572,R0112,2023-02-25,E118,95.9,0,1,N
INS-00573,R0164,2025-07-01,E121,87.8,2,1,Y
INS-00574,R0082,2024-11-27,E121,94.4,1,3,N
INS-00575,R0252,2023-07-23,E141,86.3,2,6,Y
INS-00576,R0078,2025-09-01,E118,91.0,1,3,N
INS-00577,R0088,2025-12-19,E104,97.4,1,0,N
INS-00578,R0172,2024-04-29,E119,94.1,0,5,N
INS-00579,R0114,2023-06-22,E131,94.9,1,2,N
INS-00580,R0241,2025-09-06,E129,95.5,1,1,N
INS-00581,R0147,2025-06-10,E131,96.8,0,1,N
INS-00582,R0085,2025-10-22,E139,92.7,2,0,Y
INS-00583,R0070,2024-10-26,E116,82.1,4,4,Y
INS-00584,R0211,2025-09-13,E137,90.6,1,3,N
INS-00585,R0046,2024-08-12,E139,90.1,2,1,Y
INS-00586,R0017,2024-09-22,E141,88.1,2,4,Y
INS-00587,R0085,2023-11-09,E140,96.2,0,1,N
INS-00588,R0183,2024-10-24,E101,86.2,3,2,Y
INS-00589,R0033,2023-09-21,E118,95.3,0,2,N
INS-00590,R0014,2023-04-27,E120,98.1,0,1,N
INS-00591,R0234,2023-11-09,E102,89.5,0,6,N
INS-00592,R0047,2024-04-19,E127,97.3,1,2,N
INS-00593,R0288,2023-08-16,E116,94.4,1,2,N
INS-00594,R0026,2024-06-06,E136,97.1,1,2,N
INS-00595,R0247,2023-02-06,E123,81.3,3,5,Y
INS-00596,R0041,2023-07-21,E146,90.4,1,1,N
INS-00597,R0004,2023-02-09,E118,87.9,4,4,Y
INS-00598,R0045,2025-02-28,E118,94.9,0,1,N
INS-00599,R0083,2023-05-14,E135,89.1,2,0,Y
INS-00600,R0006,2023-11-05,E143,93.1,1,6,N
INS-00601,R0056,2023-11-29,E148,92.2,0,4,N
INS-00602,R0177,2025-11-18,E122,86.9,2,2,Y
INS-00603,R0116,2025-08-25,E145,90.8,1,4,N
INS-00604,R0034,2024-10-02,E122,90.0,2,2,Y
INS-00605,R0180,2025-01-25,E124,95.1,0,2,N
INS-00606,R0130,2025-05-20,E108,87.5,1,3,N
INS-00607,R0129,2024-12-27,E144,88.4,3,1,Y
INS-00608,R0155,2025-06-18,E106,88.4,1,7,N
INS-00609,R0165,2023-04-16,E108,90.3,0,4,N
INS-00610,R0120,2024-02-16,E105,85.9,2,3,Y
INS-00611,R0046,2023-07-08,E147,93.4,0,4,N
INS-00612,R0260,2024-02-06,E118,88.3,2,2,Y
INS-00613,R0169,2023-11-10,E140,88.4,0,4,N
INS-00614,R0003,2024-02-17,E119,91.1,1,4,N
INS-00615,R0042,2024-09-10,E142,90.5,1,2,N
INS-00616,R0252,2025-04-22,E141,94.0,0,2,N
INS-00617,R0002,2025-05-31,E111,100.0,0,0,N
INS-00618,R0238,2023-02-14,E137,88.4,2,6,Y
INS-00619,R0240,2023-03-27,E135,94.4,0,2,N
INS-00620,R0142,2023-03-30,E140,91.9,0,3,N
INS-00621,R0045,2025-02-11,E117,91.6,1,1,N
INS-00622,R0133,2024-06-11,E119,92.0,0,4,N
INS-00623,R0101,2025-09-11,E136,87.5,3,6,Y
INS-00624,R0018,2025-07-17,E109,96.5,0,2,N
INS-00625,R0045,2023-10-08,E130,92.6,0,3,N
INS-00626,R0271,2023-07-21,E121,87.6,2,4,Y
INS-00627,R0277,2024-12-02,E114,97.1,0,0,N
INS-00628,R0250,2024-06-07,E118,99.2,0,0,N
INS-00629,R0213,2023-07-31,E144,94.8,1,2,N
INS-00630,R0075,2024-10-04,E143,84.7,4,1,Y
INS-00631,R0057,2023-02-23,E106,93.8,0,4,N
INS-00632,R0200,2025-03-01,E135,87.9,1,8,N
INS-00633,R0109,2025-04-21,E125,91.7,2,4,Y
INS-00634,R0160,2025-04-22,E118,96.1,0,4,N
INS-00635,R0169,2025-10-07,E140,88.3,1,4,N
INS-00636,R0283,2024-01-06,E117,96.1,0,0,N
INS-00637,R0264,2024-12-21,E119,100.0,0,0,N
INS-00638,R0099,2025-02-22,E106,92.6,0,0,N
INS-00639,R0279,2025-12-12,E120,89.6,1,4,N
INS-00640,R0070,2024-12-15,E113,90.0,1,3,N
INS-00641,R0285,2025-10-08,E120,95.2,0,3,N
INS-00642,R0054,2023-08-05,E126,93.7,1,2,N
INS-00643,R0293,2024-08-12,E111,87.3,2,3,Y
INS-00644,R0269,2023-11-11,E130,83.6,2,2,Y
INS-00645,R0010,2023-11-04,E123,95.7,0,1,N
INS-00646,R0076,2024-05-11,E103,93.3,2,1,Y
INS-00647,R0166,2024-03-09,E103,94.1,1,0,N
INS-00648,R0163,2024-04-08,E125,96.6,0,3,N
INS-00649,R0126,2025-12-22,E121,85.4,2,2,Y
INS-00650,R0274,2023-05-15,E123,99.1,0,0,N
INS-00651,R0132,2024-06-12,E145,87.5,2,1,Y
INS-00652,R0013,2024-01-17,E144,96.4,0,1,N
INS-00653,R0118,2024-09-27,E122,97.1,2,0,Y
INS-00654,R0171,2024-05-23,E113,98.5,0,6,N
INS-00655,R0001,2025-11-10,E123,92.9,0,0,N
INS-00656,R0154,2024-10-05,E125,90.4,2,3,Y
INS-00657,R0055,2024-02-11,E109,97.3,0,0,N
INS-00658,R0062,2025-03-25,E138,88.4,0,4,N
INS-00659,R0056,2024-07-02,E121,92.8,0,5,N
INS-00660,R0270,2025-02-08,E145,93.5,1,5,N
INS-00661,R0169,2023-07-14,E127,89.6,0,1,N
INS-00662,R0226,2024-04-23,E113,93.0,1,7,N
INS-00663,R0272,2024-11-21,E125,95.9,0,0,N
INS-00664,R0237,2023-12-24,E118,89.9,2,2,Y
INS-00665,R0202,2023-06-27,E147,100.0,0,1,N
INS-00666,R0172,2023-01-08,E141,90.7,0,6,N
INS-00667,R0281,2024-03-07,E127,93.1,1,1,N
INS-00668,R0098,2024-10-10,E143,86.5,1,4,N
INS-00669,R0056,2023-05-28,E101,92.8,0,2,N
INS-00670,R0297,2025-10-31,E147,97.4,1,0,N
INS-00671,R0222,2025-09-03,E143,100.0,0,1,N
INS-00672,R0278,2024-12-27,E108,94.6,0,3,N
INS-00673,R0019,2024-03-19,E143,92.7,1,2,N
INS-00674,R0197,2024-08-29,E102,86.3,0,6,N
INS-00675,R0137,2025-11-03,E126,94.6,1,2,N
INS-00676,R0008,2024-06-01,E136,93.5,1,3,N
INS-00677,R0114,2025-05-24,E103,97.5,0,1,N
INS-00678,R0021,2025-07-22,E133,85.4,2,2,Y
INS-00679,R0186,2025-08-04,E111,89.3,1,2,N
INS-00680,R0298,2023-10-17,E124,91.9,2,6,Y
INS-00681,R0065,2024-06-20,E143,90.6,0,5,N
INS-00682,R0220,2024-11-07,E107,93.9,0,1,N
INS-00683,R0201,2023-06-01,E103,93.8,1,2,N
INS-00684,R0213,2023-05-19,E140,91.3,1,4,N
INS-00685,R0239,2023-05-21,E102,98.8,0,0,N
INS-00686,R0165,2024-05-05,E112,93.8,0,2,N
INS-00687,R0163,2023-03-28,E132,95.5,0,2,N
INS-00688,R0277,2023-09-01,E114,95.7,0,1,N
INS-00689,R0083,2023-01-24,E129,97.4,0,1,N
INS-00690,R0186,2025-03-24,E105,90.4,1,0,N
INS-00691,R0030,2025-10-01,E135,92.2,0,5,N
INS-00692,R0122,2023-05-14,E112,97.2,0,0,N
INS-00693,R0194,2023-01-12,E146,91.6,2,3,Y
INS-00694,R0168,2024-07-13,E143,92.2,0,5,N
INS-00695,R0017,2024-07-21,E116,89.4,1,6,N
INS-00696,R0211,2023-10-01,E142,92.8,0,4,N
INS-00697,R0096,2025-02-25,E148,83.9,3,1,Y
INS-00698,R0076,2024-08-31,E132,96.4,1,1,N
INS-00699,R0084,2024-01-11,E127,93.7,1,0,N
INS-00700,R0165,2023-11-18,E118,90.0,2,4,Y
INS-00701,R0041,2023-09-24,E143,94.3,0,3,N
INS-00702,R0072,2023-05-26,E134,89.3,2,3,Y
INS-00703,R0213,2025-05-18,E133,96.5,0,1,N
INS-00704,R0010,2024-08-25,E142,95.1,0,4,N
INS-00705,R0156,2023-02-05,E111,89.0,1,3,N
INS-00706,R0249,2025-08-26,E107,97.6,0,1,N
INS-00707,R0105,2023-08-19,E148,87.1,2,2,Y
INS-00708,R0074,2023-03-30,E106,92.2,2,0,Y
INS-00709,R0092,2024-11-24,E137,85.5,3,5,Y
INS-00710,R0019,2023-08-09,E120,96.2,0,0,N
INS-00711,R0159,2024-03-27,E106,93.9,0,1,N
INS-00712,R0074,2023-10-24,E107,93.6,0,3,N
INS-00713,R0019,2025-03-16,E139,92.4,0,0,N
INS-00714,R0023,2024-06-27,E146,89.3,0,8,N
INS-00715,R0096,2024-07-08,E120,90.9,0,7,N
INS-00716,R0155,2025-05-12,E143,82.7,3,8,Y
INS-00717,R0202,2023-06-03,E105,100.0,0,0,N
INS-00718,R0207,2024-05-26,E101,88.9,2,0,Y
INS-00719,R0157,2024-01-08,E119,93.9,1,0,N
INS-00720,R0202,2024-05-15,E104,100.0,0,1,N
INS-00721,R0050,2024-01-03,E143,98.1,0,2,N
INS-00722,R0274,2024-08-16,E116,99.5,0,1,N
INS-00723,R0157,2024-09-04,E133,92.4,2,2,Y
INS-00724,R0053,2025-05-14,E116,99.0,0,0,N
INS-00725,R0183,2024-05-03,E146,92.4,1,4,N
INS-00726,R0180,2024-09-25,E113,91.7,0,6,N
INS-00727,R0213,2025-01-29,E121,96.1,0,3,N
INS-00728,R0195,2024-05-04,E140,87.5,2,3,Y
INS-00729,R0275,2025-07-05,E138,97.4,0,3,N
INS-00730,R0182,2025-04-18,E141,85.1,3,5,Y
INS-00731,R0150,2025-09-15,E137,91.3,2,2,Y
INS-00732,R0283,2025-04-23,E119,89.0,3,3,Y
INS-00733,R0188,2025-05-02,E107,87.7,1,3,N
INS-00734,R0041,2025-08-08,E140,91.9,1,2,N
INS-00735,R0179,2023-01-09,E118,93.2,0,5,N
INS-00736,R0081,2024-07-07,E129,96.8,0,1,N
INS-00737,R0111,2024-03-31,E106,83.1,1,5,Y
INS-00738,R0176,2025-08-02,E138,91.9,1,4,N
INS-00739,R0223,2025-11-25,E139,97.6,0,0,N
INS-00740,R0023,2025-04-18,E101,87.3,2,6,Y
INS-00741,R0248,2023-12-25,E146,86.2,2,3,Y
INS-00742,R0046,2024-10-30,E105,95.5,0,2,N
INS-00743,R0173,2025-01-13,E116,99.7,0,1,N
INS-00744,R0270,2024-08-05,E101,99.5,0,1,N
INS-00745,R0197,2025-05-20,E129,86.0,1,3,N
INS-00746,R0289,2024-10-27,E108,86.6,2,0,Y
INS-00747,R0063,2024-09-26,E124,93.4,0,2,N
INS-00748,R0281,2024-01-08,E108,95.5,0,0,N
INS-00749,R0039,2025-05-18,E133,88.7,0,4,N
INS-00750,R0196,2025-08-27,E103,93.6,0,1,N
INS-00751,R0189,2025-10-26,E136,86.4,2,1,Y
INS-00752,R0148,2024-05-09,E136,91.4,1,10,N
INS-00753,R0136,2023-05-23,E142,96.5,0,0,N
INS-00754,R0003,2023-01-25,E122,94.6,0,2,N
INS-00755,R0051,2025-12-17,E113,92.8,0,3,N
INS-00756,R0120,2025-12-18,E141,87.4,1,3,N
INS-00757,R0146,2024-04-24,E135,93.0,0,5,N
INS-00758,R0040,2025-03-05,E120,88.7,2,0,Y
INS-00759,R0105,2025-10-03,E136,89.3,1,5,N
INS-00760,R0222,2025-08-13,E148,100.0,1,2,N
INS-00761,R0143,2024-04-20,E134,92.7,0,3,N
INS-00762,R0012,2024-05-13,E136,87.8,2,5,Y
INS-00763,R0133,2025-07-26,E105,91.2,0,5,N
INS-00764,R0241,2025-06-03,E114,95.3,0,0,N
INS-00765,R0224,2024-01-18,E118,89.9,1,3,N
INS-00766,R0039,2024-01-20,E145,82.1,3,4,Y
INS-00767,R0032,2023-08-01,E109,95.9,0,2,N
INS-00768,R0280,2025-08-04,E145,93.6,2,3,Y
INS-00769,R0150,2024-12-28,E107,93.3,0,6,N
INS-00770,R0101,2024-04-04,E113,91.4,0,8,N
INS-00771,R0111,2024-04-10,E111,82.0,2,2,Y
INS-00772,R0131,2025-12-15,E142,96.1,0,1,N
INS-00773,R0264,2025-07-04,E131,100.0,0,0,N
INS-00774,R0259,2023-08-11,E112,85.9,2,4,Y
INS-00775,R0258,2025-12-12,E104,98.6,0,0,N
INS-00776,R0216,2025-02-09,E127,95.4,0,2,N
INS-00777,R0163,2025-05-22,E144,96.5,1,0,N
INS-00778,R0170,2025-08-15,E142,97.2,0,2,N
INS-00779,R0006,2024-01-29,E117,95.4,0,3,N
INS-00780,R0032,2024-12-01,E105,93.7,0,4,N
INS-00781,R0025,2024-12-16,E122,95.1,0,2,N
INS-00782,R0034,2023-12-27,E128,92.0,1,2,N
INS-00783,R0071,2024-09-25,E118,95.1,0,2,N
INS-00784,R0067,2025-09-09,E106,94.7,0,3,N
INS-00785,R0236,2024-08-25,E113,93.7,0,4,N
INS-00786,R0001,2025-03-09,E145,92.7,0,3,N
INS-00787,R0186,2023-02-17,E102,85.7,3,2,Y
INS-00788,R0115,2024-06-16,E119,91.6,0,3,N
INS-00789,R0172,2025-06-16,E133,82.2,2,12,Y
INS-00790,R0281,2025-10-06,E146,90.6,1,4,N
INS-00791,R0218,2025-09-19,E120,91.0,1,2,N
INS-00792,R0262,2023-06-07,E130,98.8,0,0,N
INS-00793,R0051,2024-10-20,E120,83.6,2,6,Y
INS-00794,R0272,2024-11-02,E111,99.3,0,0,N
INS-00795,R0224,2025-07-14,E141,86.0,2,4,Y
INS-00796,R0019,2023-06-11,E143,95.4,0,0,N
INS-00797,R0030,2025-12-06,E110,93.1,0,6,N
INS-00798,R0206,2024-11-23,E127,91.7,0,4,N
INS-00799,R0027,2024-10-15,E111,85.1,1,5,N
INS-00800,R0102,2025-10-24,E139,89.9,2,3,Y
INS-00801,R0020,2024-05-22,E104,93.3,0,0,N
INS-00802,R0230,2025-12-11,E128,95.1,0,5,N
INS-00803,R0204,2024-10-25,E137,97.6,0,4,N
INS-00804,R0117,2024-07-26,E101,88.4,1,8,N
INS-00805,R0031,2025-04-27,E104,94.2,1,1,N
INS-00806,R0174,2025-05-10,E107,78.8,4,6,Y
INS-00807,R0248,2024-05-23,E115,84.9,1,6,Y
INS-00808,R0081,2023-12-06,E133,96.3,1,1,N
INS-00809,R0054,2023-10-16,E135,95.8,0,2,N
INS-00810,R0147,2024-09-20,E123,88.6,3,0,Y
INS-00811,R0077,2023-06-08,E114,93.2,1,3,N
INS-00812,R0260,2023-11-14,E105,94.1,0,1,N
INS-00813,R0075,2024-03-31,E130,89.0,1,1,N
INS-00814,R0152,2023-01-25,E112,90.5,2,4,Y
INS-00815,R0031,2023-09-12,E147,95.7,0,1,N
INS-00816,R0247,2023-11-22,E108,89.6,0,2,N
INS-00817,R0221,2024-10-28,E103,91.5,1,1,N
INS-00818,R0280,2024-02-03,E120,97.0,0,4,N
INS-00819,R0289,2024-05-01,E144,89.0,0,4,N
INS-00820,R0105,2025-09-04,E111,89.5,1,3,N
INS-00821,R0142,2025-08-18,E104,92.4,1,3,N
INS-00822,R0285,2023-11-27,E146,93.1,1,3,N
INS-00823,R0103,2024-03-10,E112,86.7,1,4,N
INS-00824,R0150,2024-07-26,E148,95.5,1,2,N
INS-00825,R0204,2025-12-08,E132,94.3,1,2,N
INS-00826,R0099,2023-07-25,E116,90.3,0,6,N
INS-00827,R0234,2023-08-12,E145,93.6,0,3,N
INS-00828,R0253,2024-12-22,E127,93.4,0,4,N
INS-00829,R0063,2023-11-25,E118,93.2,0,3,N
INS-00830,R0152,2024-09-29,E106,89.5,1,7,N
INS-00831,R0291,2023-08-09,E126,94.4,0,6,N
INS-00832,R0275,2025-10-13,E105,98.0,0,1,N
INS-00833,R0149,2024-04-02,E117,89.9,0,6,N
INS-00834,R0288,2023-03-06,E115,96.4,0,3,N
INS-00835,R0186,2024-02-02,E112,94.3,0,3,N
INS-00836,R0225,2023-03-29,E147,93.1,0,5,N
INS-00837,R0024,2024-06-07,E138,90.0,2,1,Y
INS-00838,R0143,2024-08-15,E115,89.0,1,4,N
INS-00839,R0123,2023-02-25,E103,91.5,0,1,N
INS-00840,R0046,2023-10-17,E144,93.1,1,3,N
INS-00841,R0208,2024-10-28,E133,90.2,0,3,N
INS-00842,R0282,2024-11-04,E104,93.6,1,2,N
INS-00843,R0094,2024-07-29,E117,90.9,1,3,N
INS-00844,R0277,2024-02-19,E121,96.7,0,1,N
INS-00845,R0116,2025-08-11,E119,91.3,0,4,N
INS-00846,R0294,2023-12-08,E127,90.4,1,4,N
INS-00847,R0095,2025-10-14,E107,95.1,0,2,N
INS-00848,R0205,2023-04-19,E143,91.7,0,2,N
INS-00849,R0122,2024-10-22,E143,95.6,1,2,N
INS-00850,R0276,2024-07-08,E116,92.2,1,1,N
INS-00851,R0198,2024-10-14,E122,90.0,1,4,N
INS-00852,R0231,2024-09-02,E115,89.8,1,2,N
INS-00853,R0034,2024-05-14,E138,95.7,0,2,N
INS-00854,R0016,2024-04-30,E114,95.5,1,1,N
INS-00855,R0054,2024-06-17,E129,98.2,0,2,N
INS-00856,R0284,2025-09-11,E104,86.9,1,3,N
INS-00857,R0113,2023-04-30,E101,87.5,4,3,Y
INS-00858,R0298,2023-09-27,E113,90.2,2,4,Y
INS-00859,R0300,2025-07-10,E103,91.9,0,2,N
INS-00860,R0229,2023-11-02,E142,77.6,5,1,Y
INS-00861,R0065,2024-10-28,E129,83.9,2,3,Y
INS-00862,R0068,2024-08-13,E107,89.5,1,5,N
INS-00863,R0228,2023-12-16,E128,87.2,1,2,N
INS-00864,R0200,2025-05-16,E145,91.4,1,5,N
INS-00865,R0029,2023-01-10,E122,88.0,1,4,N
INS-00866,R0254,2023-11-28,E141,94.5,1,2,N
INS-00867,R0254,2025-06-12,E136,89.2,2,1,Y
INS-00868,R0208,2023-04-26,E130,91.2,0,1,N
INS-00869,R0202,2024-09-18,E137,100.0,0,2,N
INS-00870,R0124,2025-05-31,E113,90.3,1,2,N
INS-00871,R0105,2025-03-05,E142,87.1,1,2,N
INS-00872,R0054,2025-05-08,E132,94.7,1,1,N
INS-00873,R0192,2025-12-05,E128,85.9,2,6,Y
INS-00874,R0245,2024-01-08,E129,92.5,2,1,Y
INS-00875,R0109,2024-04-04,E147,88.7,2,4,Y
INS-00876,R0099,2025-04-07,E124,89.3,0,4,N
INS-00877,R0061,2025-05-11,E138,94.9,0,2,N
INS-00878,R0224,2025-06-08,E129,91.1,0,3,N
INS-00879,R0002,2023-03-20,E142,96.9,1,0,N
INS-00880,R0172,2025-03-02,E138,81.7,2,10,Y
INS-00881,R0182,2024-11-06,E124,92.4,1,1,N
INS-00882,R0267,2024-12-23,E133,90.3,2,1,Y
INS-00883,R0294,2025-02-17,E122,89.1,1,4,N
INS-00884,R0226,2024-05-20,E105,98.4,0,1,N
INS-00885,R0293,2024-09-18,E101,92.0,0,4,N
INS-00886,R0243,2025-04-05,E101,87.0,1,4,N
INS-00887,R0157,2025-09-01,E147,97.3,0,2,N
INS-00888,R0060,2023-01-24,E127,93.3,1,0,N
INS-00889,R0088,2024-04-15,E124,99.7,0,2,N
INS-00890,R0273,2023-12-22,E115,97.5,0,3,N
INS-00891,R0167,2025-09-21,E107,95.5,0,1,N
INS-00892,R0182,2025-12-30,E141,90.3,2,3,Y
INS-00893,R0213,2024-08-21,E142,96.2,0,3,N
INS-00894,R0063,2025-12-08,E101,93.8,0,1,N
INS-00895,R0126,2025-02-25,E114,84.2,2,1,Y
INS-00896,R0071,2025-02-20,E118,95.3,0,1,N
INS-00897,R0255,2025-11-18,E103,92.8,1,1,N
INS-00898,R0075,2023-12-07,E141,88.2,2,4,Y
INS-00899,R0100,2025-09-02,E132,93.8,0,4,N
INS-00900,R0051,2025-03-03,E108,88.0,2,1,Y
INS-00901,R0056,2024-04-25,E134,86.0,3,1,Y
INS-00902,R0271,2025-08-12,E103,93.3,0,2,N
INS-00903,R0147,2024-03-08,E136,90.3,2,1,Y
INS-00904,R0012,2023-01-24,E144,94.9,0,1,N
INS-00905,R0115,2023-05-01,E143,87.5,2,4,Y
INS-00906,R0165,2025-07-08,E127,86.8,3,3,Y
INS-00907,R0033,2024-05-08,E101,94.6,1,2,N
INS-00908,R0141,2024-04-02,E116,90.1,1,4,N
INS-00909,R0087,2025-10-11,E135,94.3,1,4,N
INS-00910,R0250,2025-08-23,E121,96.3,1,2,N
INS-00911,R0076,2025-07-25,E124,97.7,0,4,N
INS-00912,R0060,2025-03-02,E132,91.5,1,0,N
INS-00913,R0115,2025-11-18,E135,86.5,0,9,N
INS-00914,R0183,2024-04-02,E119,93.0,1,0,N
INS-00915,R0234,2023-10-02,E130,90.3,1,2,N
INS-00916,R0203,2024-03-21,E119,86.3,1,8,N
INS-00917,R0062,2025-12-05,E101,88.7,0,4,N
INS-00918,R0085,2024-04-30,E141,93.2,1,2,N
INS-00919,R0201,2024-04-05,E120,93.1,0,3,N
INS-00920,R0139,2025-08-28,E142,94.8,1,2,N
