unit_code,location_name,category,campus_zone,inspection_date,score,seats,avg_ticket,open_now,manager_notes
5428,   CASE SNACK SHOP ,food truck,Central,2024-07-13,87.2,2,$15.29,Y,Reinspection scheduled
4947,Brickyard Kitchen,dining hall,Vet School,4/16/24,86.9,672,$12.75,Y,CafÃ© side entrance blocked
7658,Mann Coffee Bar,Food truck,Off-Campus,03/08/2025,93.9,2,$7.92,FALSE,Walk-in temp logged at 41Â°F
0559, FOUNTAIN NOODLE STATION,food truck,Off-Campus,"February 19, 2024",96.3,2,$23.55,1,Follow up re: hood cleaning
5428,  Case Snack Shop ,Food truck,Central,2024-07-13,87.2,2,$15.29,Y,Reinspection scheduled
8312,Weaver Pizza Window,food truck,Centennial,2024-02-22 16:15:00,86.8,unknown,$16.80,1,No issues noted
8630,Weaver Cafe,CAFE,Central,1/4/25,N/A,27,$15.97,0,Follow up re: hood cleaning
1588,Fountain Salad Bar,Food truck,Off-Campus,2024-06-30,90.4,2,$11.37,FALSE,Walk-in temp logged at 41Â°F
5861,Bostian Coffee Bar,coffee,North,5/2/24,91.8,9,,Y,Walk-in temp logged at 41Â°F
4051, BRICKYARD BAKERY COUNTER,food truck,Centennial,2024-04-26 20:00:00,87.0,1,$10.19,0,No issues noted
8389,CafÃ© Weaver Grill,Coffee,North,2024-04-23,98.1,-999,$17.73,1,No issues noted
0586, Daniels Grill,convenience,North,7/19/25,95.1,11,$12.99,no,
9176, Withers Cafe,COFFEE,Off-Campus,7-Sep-2024,94.8,37,null,N,
9200,Pullen Salad Bar,Café,Central,2024-08-25,94.1,59,$16.95,FALSE,CafÃ© side entrance blocked
5742,Jordan Salad Bar,CAFE,Off-Campus,3/15/25,90.5,86,$22.27,FALSE,Follow up re: hood cleaning
6857,Riddick Kitchen,food truck,Off-Campus,08/23/2025,98.0*,8,$26.64,0,CafÃ© side entrance blocked
4658,JalapeÃ±o Winston Grill,Cafe,Vet School,24-Aug-2024,87.2,38,$20.77,TRUE,Reinspection scheduled
2370,Case Kitchen,Fast Casual,Off-Campus,2025-09-21,97.0,68,$12.59,no,
0633,Page Juice Bar,fast casual,Centennial,4-Jul-2024,97.3,71,$19.35,Y,No issues noted
7473,JalapeÃ±o Clark Deli Counter,C-Store,Vet School,2025-07-07,91.2,8,$19.89,Y,No issues noted
0859,CafÃ© Tompkins Deli Counter,C-Store,Vet School,03/03/2024,86.0,0,$19.34,0,No issues noted
8761,Leazar Snack Shop,Food truck,Centennial,2024-06-10,92.0,6,$16.62,TRUE,Owner requested re-score â€” pending
6430,Centennial Grill,food truck,North,9-Jan-2025,98.1,6,$14.61,0,
6780, Caldwell Snack Shop,Dining hall,Off-Campus,2025-10-04,93.3,464,$15.46,N,Walk-in temp logged at 41Â°F
7383,JalapeÃ±o Withers Juice Bar ,Food Truck,Central,8-Nov-2025,87.8*,1,$10.60,0,Owner requested re-score â€” pending
8901,Primrose Snack Shop,Dining Hall,Centennial,4/1/24,97.9,638,$9.22,0,Reinspection scheduled
1372,CrÃ¨me Broughton Hall Bakery Counter,FoodTruck,Vet School,04/09/2024,88.2,6,$14.79,N,Owner requested re-score â€” pending
5047,  Bostian Juice Bar ,FoodTruck,Centennial,"October 22, 2024", 86.0 ,2,$13.09,FALSE,Owner requested re-score â€” pending
2103,CafÃ© Polk Food Court,FoodTruck,Vet School,05/15/2025,89.8,1,$15.80,yes,
0104,Jordan Deli Counter,Convenience Store,Central,2025-08-28,92.6,5,$17.66,0,Owner requested re-score â€” pending
2312,Tompkins Market,CAFE,Off-Campus,"February 17, 2025",94.5,65,$26.77,0,No issues noted
7283,Tompkins Dining Hall,FastCasual,North,31-Mar-2025,90.4,111,$11.26,Y,Follow up re: hood cleaning
5342,Riddick Deli Counter,Coffee Shop,North,1/28/24,  ,21,$6.36,Y,
2303,  Mann Cafe ,FastCasual,Central,27-Apr-2024,95.7,107,$18.25,yes,Reinspection scheduled
5902,Scott Kitchen,food truck,North,25-Dec-2025,93.0,-999,$9.68,Y,Reinspection scheduled
0553,Gardner Snack Shop,Dining hall,Off-Campus,2024-12-21,90.6,524,$26.93,N,Follow up re: hood cleaning
3992,Primrose Noodle Station,food truck,Off-Campus,5/11/25,88.8,8,$9.03,N,Walk-in temp logged at 41Â°F
0758,Caldwell Cafe,food truck,North,03/11/2024,89.8,6,$27.84,TRUE,Walk-in temp logged at 41Â°F
4595,Centennial Market,Convenience,Vet School,2024-11-08,88.0,7,$27.73,yes,No issues noted
0903,Caldwell Food Court,Fast Casual,Vet School,"September 3, 2025",92.3,35,$11.37,yes,Owner requested re-score â€” pending
3204,Hunt Library Snack Shop,fast casual,Central,08/28/2024,,78,$7.50,TRUE,No issues noted
1805,Riddick Bakery Counter,CAFE,Centennial,2024-10-01 13:30:00,99.3,21,$18.52,yes,Follow up re: hood cleaning
2322,Dabney Kitchen,Fast Casual,Centennial,2024-03-07 10:30:00,93.5,58,$16.55,TRUE,CafÃ© side entrance blocked
1145,Weaver Salad Bar ,FastCasual,Centennial,27-Sep-2024,89.0,92,$20.34,Y,No issues noted
4791,  Leazar Pizza Window ,Convenience,North,29-Apr-2025,100.0,10,$15.10,TRUE,Follow up re: hood cleaning
4527, Leazar Deli Counter,Fast-Casual,Off-Campus,2025-02-07,89.1,54,$17.79,Y,Reinspection scheduled
8340, Bostian Dining Hall,Fast-Casual,Off-Campus,11-Nov-2025,90.8,90,$26.46,N,No issues noted
6857, RIDDICK KITCHEN,food truck,Off-Campus,08/23/2025,98.0*,8,$26.64,0,CafÃ© side entrance blocked
6430,Centennial Grill,food truck,North,9-Jan-2025,98.1,6,$14.61,0,
3908,Brickyard Juice Bar,Fast-Casual,North,28-Oct-2024,89.7*,83,$6.89,FALSE,Walk-in temp logged at 41Â°F
5240,Withers Kitchen,cafe,Vet School,02/20/2024,92.3,-999,-999,TRUE,No issues noted
0418,Gardner Cafe,Fast-Casual,Central,"August 3, 2025",93.2,103,$14.06,yes,Follow up re: hood cleaning
5599, Mann Juice Bar,cafe,North,"August 30, 2025",91.6,44,$14.05,1,Owner requested re-score â€” pending
2761,Brickyard Deli Counter,CAFE,Off-Campus,"February 23, 2024",94.7,77,$15.26,N,No issues noted
6857,Riddick Kitchen,food truck,Off-Campus,08/23/2025,98.0*,8,$26.64,0,CafÃ© side entrance blocked
1118, Talley Deli Counter,CAFE,Centennial,7/31/24,97.5,85,$11.69,TRUE,
4787,Clark Snack Shop,Fast-Casual,Centennial,17-Nov-2025,92.7*,117,$26.24,0,CafÃ© side entrance blocked
9759,Daniels Pizza Window,Café,Centennial,"April 27, 2025",N/A,28,$23.61,yes,Follow up re: hood cleaning
9994,Broughton Hall Market,Fast Casual,Off-Campus,6-Feb-2024,unknown,39,null,1,Follow up re: hood cleaning
0596,Centennial Salad Bar,CAFE,Centennial,3/26/24,,58,  ,1,Walk-in temp logged at 41Â°F
3010,Leazar Food Court,FoodTruck,Central,"November 3, 2024",91.1,7,$5.12,N,Walk-in temp logged at 41Â°F
1668,Polk Noodle Station,convenience,Off-Campus,2025-12-09 15:30:00,92.0,8,$12.91,1,No issues noted
3934,Page Salad Bar,convenience,Vet School,"July 25, 2024",90.7,4,$12.57,1,Walk-in temp logged at 41Â°F
5666, Brickyard Coffee Bar,C-Store,Off-Campus,"February 27, 2024",88.3,NA,$6.34,N,CafÃ© side entrance blocked
6885,PiÃ±ata Page Snack Shop,Coffee,North,09/04/2024,97.2,32,$6.23,FALSE,CafÃ© side entrance blocked
9261,Page Food Court,dining hall,Central,11/29/2024,95.6,259,$23.83,TRUE,No issues noted
8555, CLARK BAKERY COUNTER,foodtruck,Vet School,03/22/2025,89.5,6,$21.65,FALSE,
0319,  Talley Juice Bar ,Food Truck,North,10/10/25,95.0,3,$18.45,0,Walk-in temp logged at 41Â°F
6746,Weaver Bakery Counter,DINING HALL,Central,10/11/2024,97.5,633,null,N,Follow up re: hood cleaning
1249, Jordan Cafe,Food Truck,Centennial,24-May-2024,89.8,3,$9.53,N,Follow up re: hood cleaning
7383, JALAPEÃ±O WITHERS JUICE BAR ,food truck,Central,8-Nov-2025,87.8*,1,$10.60,0,Owner requested re-score â€” pending
7508,Case Salad Bar,Food Truck,Vet School,4/4/24,88.5,8,$23.52,TRUE,Owner requested re-score â€” pending
5129,JalapeÃ±o Primrose Coffee Bar,coffee,North,2024-07-05 19:15:00,87.7,24,$26.05,N,Owner requested re-score â€” pending
3446, Nelson Food Court,fast casual,Off-Campus,"April 5, 2024",89.2,95,$19.98,TRUE,No issues noted
7508, CASE SALAD BAR,food truck,Vet School,4/4/24,88.5,8,$23.52,TRUE,Owner requested re-score â€” pending
7029,Mann Salad Bar,COFFEE,North,03/01/2024,94.6,32,$11.24,FALSE,CafÃ© side entrance blocked
2996, CrÃ¨me Mann Snack Shop,Cafe,Vet School,2024-06-20,91.7,53,$24.47,1,No issues noted
0517,Weaver Kitchen,convenience,Centennial,2024-09-20 09:45:00,97.8,9,$24.72,0,Follow up re: hood cleaning
1249, Jordan Cafe,Food Truck,Centennial,24-May-2024,89.8,3,$9.53,N,Follow up re: hood cleaning
4020,Page Deli Counter,DINING HALL,North,"November 9, 2024",99.3,427,$20.79,1,CafÃ© side entrance blocked
7508,Case Salad Bar,Food Truck,Vet School,4/4/24,88.5,8,$23.52,TRUE,Owner requested re-score â€” pending
3689,Daniels Juice Bar,Convenience,Centennial,2024-12-13 16:45:00,96.9,12,$11.36,0,
0559,Fountain Noodle Station,food truck,Off-Campus,"February 19, 2024",96.3,2,$23.55,1,Follow up re: hood cleaning
4872,Gardner Coffee Bar,dining hall,Off-Campus,12/04/2024,91.5,682,$16.43,1,Reinspection scheduled
1524,Pullen Pizza Window,fast casual,Off-Campus,09/05/2024,91.7,54,$20.14,FALSE,No issues noted
6270,JalapeÃ±o Jordan Pizza Window, Coffee,Vet School,03/25/2024, 86.1 ,NA,$17.35,Y,CafÃ© side entrance blocked
6425,Poe Kitchen,Dining hall,Off-Campus,2025-12-10 09:15:00,97.9,360,$8.55,N,No issues noted
3588,Case Dining Hall ,Fast-Casual,Central,2025-04-16 09:30:00,93.4,87,$9.86,no,Reinspection scheduled
0453,CafÃ© Tompkins Cafe,Food truck,Vet School,21-Jul-2025,94.7,7,,FALSE,Follow up re: hood cleaning
7796,Centennial Dining Hall,Food Truck,Centennial,2025-12-30 17:00:00,94.6,0,$23.62,TRUE,No issues noted
7796, CENTENNIAL DINING HALL,food truck,Centennial,2025-12-30 17:00:00,94.6,0,$23.62,TRUE,No issues noted
9917,Winston Dining Hall,CAFE,Vet School,2025-11-26 08:30:00,,81,$17.31,FALSE,Reinspection scheduled
2855,CrÃ¨me Tompkins Food Court,C-Store,Vet School,10-Dec-2025,98.0,12,$6.03,Y,Walk-in temp logged at 41Â°F
5712,Primrose Deli Counter,Coffee,Off-Campus,2024-10-10,89.7,40,$19.66,FALSE,Follow up re: hood cleaning
6014,Nelson Grill ,Coffee Shop,Centennial,2024-02-24,94.0,29,$6.45,Y,Walk-in temp logged at 41Â°F
5166,Daniels Noodle Station,coffee,Off-Campus,1/22/24,90.5,10,$26.20,no,
5070,Pullen Noodle Station,Food truck,Off-Campus,1/28/25,89.3,4,$23.40,FALSE,CafÃ© side entrance blocked
2325,Weaver Coffee Bar,Café,Central,2025-07-14,89.6,64,$21.62,yes,CafÃ© side entrance blocked
2907,Case Grill,cafe,North,10/22/24,98.0,76,$21.28,TRUE,No issues noted
4334,Polk Deli Counter ,fast casual,Centennial,11/12/2024,90.6,56,null,TRUE,Follow up re: hood cleaning
3150,Jordan Market,Food truck,Central,12/27/24,88.5,7,$8.59,0,CafÃ© side entrance blocked
4552,Tompkins Salad Bar,Cafe,Central,5/4/25,93.3,87,$10.95,TRUE,Walk-in temp logged at 41Â°F
7599,Scott Grill ,Convenience Store,North,"December 12, 2025",94.0,3,$12.46,1,Reinspection scheduled
5070,Pullen Noodle Station,Food truck,Off-Campus,1/28/25,89.3,4,$23.40,FALSE,CafÃ© side entrance blocked
4703,Poe Grill,FoodTruck,Central,3-Jan-2025,93.7,2,$20.86,1,CafÃ© side entrance blocked
8520,Fountain Dining Hall,Dining hall,Off-Campus,2024-11-07 11:15:00,100.0,413,$27.34,FALSE,CafÃ© side entrance blocked
2731,Mann Deli Counter,Coffee,Central,10/13/2024,94.0,31,$26.49,yes,
9834,CrÃ¨me Talley Snack Shop,Coffee Shop,Vet School,2025-03-23,96.7,16,$9.85,0,Walk-in temp logged at 41Â°F
3977,Gardner Grill,Convenience Store,Centennial,"May 21, 2024",0,  ,$7.30,N,Owner requested re-score â€” pending
9077,Brickyard Salad Bar,Convenience Store,Central,7/11/24,0,1,$25.57,Y,Reinspection scheduled
4956,Winston Snack Shop,FoodTruck,North,"September 15, 2024",88.0,4,$24.59,yes,Reinspection scheduled
0974,Tompkins Kitchen,Fast Casual,Central,"September 1, 2025",92.5,91,$4.91,no,Reinspection scheduled
1287,Page Grill,Dining Hall,Off-Campus,21-Sep-2025,91.0*,564,$5.56,1,
1588,Fountain Salad Bar,Food truck,Off-Campus,2024-06-30,90.4,2,$11.37,FALSE,Walk-in temp logged at 41Â°F
8963,Jordan Kitchen,DINING HALL,North,2024-01-25,100.0*,538,$23.16,1,
8476,CafÃ© Clark Cafe,Fast-Casual,Vet School,27-Sep-2025,97.8,117,$10.36,TRUE,Follow up re: hood cleaning
7857,JalapeÃ±o Talley Coffee Bar,coffee,Central,"November 20, 2024",98.6,40,$5.89,0,Follow up re: hood cleaning
1734,Nelson Coffee Bar,Food Truck,North,"July 25, 2024",85.8,3,$16.61,N,Owner requested re-score â€” pending
4545,Centennial Snack Shop,Coffee,Off-Campus,5/3/25,100.0,7,NA,Y,No issues noted
6163, Broughton Hall Dining Hall,Convenience,Centennial,2025-12-22,92.9,1,$5.03,FALSE,
2117,BÃ¡nh Clark Grill,cafe,Vet School,22-Jun-2024,98.5,54,$11.85,no,CafÃ© side entrance blocked
3992, PRIMROSE NOODLE STATION,food truck,Off-Campus,5/11/25,88.8,8,$9.03,N,Walk-in temp logged at 41Â°F
8492,Daniels Salad Bar,Food truck,Off-Campus,2025-02-25 15:00:00,86.3,7,$9.87,FALSE,Follow up re: hood cleaning
2401,Case Cafe,FastCasual,Off-Campus,"January 17, 2024",89.2,56,$20.63,Y,Owner requested re-score â€” pending
4990,Hunt Library Grill ,Convenience,Centennial,2025-11-23 10:00:00,87.8,10,$6.20,0,No issues noted
4991,Bostian Snack Shop,cafe,Central,05/29/2024,88.3,78,$6.17,1,CafÃ© side entrance blocked
4278,Talley Kitchen,Food Truck,Off-Campus,2/11/24,87.3,0,$25.57,yes,Follow up re: hood cleaning
4154,Winston Bakery Counter,Fast Casual,North,"October 2, 2024",100.0,32,$20.60,no,No issues noted
